"India/State/ UT",Total Schools,Schools with CWSN friendly toilet,Schools with functional CWSN friendly toilet,,,,,,,,,,,,,,
"","Allmanagement",Govt.,"Govt.aided","Pvt.unaided",Others,,"Allmanagement",Govt.,"Govt.aided","Pvt.unaided",Others,"Allmanagement",Govt.,"Govt.aided","Pvt.unaided",Others,
(1),(2),(3),(4),(5),(6),,(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),
India,1509136,1032049,84295,340753,52039,,380987,256231,20671,96147,7938,365907,244910,20058,93318,7621,
Andaman and Nicobar Islands,417,342,2,73,0,,100,86,0,14,0,99,85,0,14,0,
Andhra Pradesh,63343,45145,2121,15792,285,,5290,3060,68,2136,26,4849,2719,64,2040,26,
Arunachal Pradesh,3675,3061,67,496,51,,233,149,9,69,6,204,120,9,69,6,
Assam,65203,46749,4983,6045,7426,,11405,9984,265,924,232,11043,9724,234,882,203,
Bihar,93459,75555,735,7923,9246,,13703,9894,112,1877,1820,13368,9642,110,1835,1781,
Chandigarh,230,121,7,75,27,,157,93,5,55,4,157,93,5,55,4,
Chhattisgarh,56494,48619,430,7131,314,,42024,37516,221,4144,143,39453,35037,216,4061,139,
"Daman and Diu andDadra and Nagar Haveli",479,407,8,63,1,,379,359,4,15,1,375,355,4,15,1,
Delhi,5642,2751,250,2641,0,,5619,2741,242,2636,0,5619,2741,242,2636,0,
Goa,1481,821,522,138,0,,61,19,30,12,0,57,16,29,12,0,
Gujarat,54444,34967,5640,13834,3,,17863,15206,810,1847,0,17772,15121,809,1842,0,
Haryana,23764,14563,17,8235,949,,9826,8389,3,1307,127,9544,8152,3,1262,127,
Himachal Pradesh,18145,15391,0,2753,1,,4243,3325,0,918,0,4100,3202,0,898,0,
Jammu and Kashmir,28930,23167,1,5649,113,,1109,384,1,707,17,1046,340,1,688,17,
Jharkhand,45319,35888,1175,1542,6714,,1726,976,43,242,465,1605,909,40,236,420,
Karnataka,76905,49791,7182,19915,17,,12181,5947,1048,5185,1,11158,5263,962,4933,0,
Kerala,16481,5020,7191,3241,1029,,3709,2058,1076,458,117,3466,1873,1034,447,112,
Ladakh,1056,915,29,112,0,,313,306,0,7,0,309,302,0,7,0,
Lakshadweep,45,45,0,0,0,,12,12,0,0,0,12,12,0,0,0,
Madhya Pradesh,133271,99152,773,31512,1834,,9355,3814,70,5401,70,8925,3601,67,5190,67,
Maharashtra,110114,65734,23924,19632,824,,52982,30746,11062,10758,416,49444,27766,10741,10529,408,
Manipur,4653,2878,585,1027,163,,350,115,12,203,20,332,103,10,200,19,
Meghalaya,14694,7795,4176,2179,544,,361,182,104,68,7,328,157,101,63,7,
Mizoram,3925,2558,231,1050,86,,711,656,16,31,8,575,526,14,29,6,
Nagaland,2719,1975,0,743,1,,131,104,0,27,0,120,94,0,26,0,
Odisha,64185,50256,5844,6393,1692,,38383,31702,2287,3658,736,37706,31123,2248,3621,714,
Puducherry,741,422,33,286,0,,279,193,6,80,0,274,188,6,80,0,
Punjab,28695,19330,455,8893,17,,28695,19330,455,8893,17,28695,19330,455,8893,17,
Rajasthan,107376,68813,0,36023,2540,,20531,6639,0,13531,361,18853,6029,0,12513,311,
Sikkim,1263,851,19,393,0,,136,112,1,23,0,124,101,1,22,0,
Tamil Nadu,58904,37589,8326,12402,587,,19026,15081,838,3003,104,19026,15081,838,3003,104,
Telangana,42917,30015,700,12023,179,,2669,1684,30,952,3,2261,1282,26,951,2,
Tripura,4934,4265,43,360,266,,376,326,9,38,3,325,277,8,37,3,
Uttar Pradesh,256911,137068,8125,96741,14977,,47679,19930,1794,23263,2692,45417,18502,1733,22593,2589,
Uttarakhand,23169,16651,614,5396,508,,1194,611,30,520,33,1090,542,28,491,29,
West Bengal,95153,83379,87,10042,1645,,28176,24502,20,3145,509,28176,24502,20,3145,509,
