"India/State /UT",Number of Schools – all types of management,,,,,,,,,,
"",Total,Primary,Upper Primary,Secondary,Higher Secondary,,,,,,
"",,(1 to 5),(1-8),(6-8),(1-10),(6-10),(9-10),(1-12),(6-12),(9-12),(11-12)
(1),(2),(3),(4),(5),( 6),(7),( 8),( 9),(10),( 11),( 12)
India,1551000,826982,300490,142902,68427,47850,34327,56156,34789,23695,15382
Andaman and Nicobar Islands,414,217,80,1,47,3,0,46,16,4,0
Andhra Pradesh,63621,39499,9425,2,2308,10191,14,75,170,0,1937
Arunachal Pradesh,3793,2031,1246,53,257,44,1,67,51,41,2
Assam,66324,44519,4162,7846,3195,2357,2016,417,716,207,889
Bihar,89224,42733,37628,266,2326,213,1127,1928,87,2557,359
Chandigarh,229,20,41,0,72,0,0,92,3,1,0
Chhattisgarh,56274,32811,3002,13368,735,30,1937,1386,151,2844,10
Dadra and Nagar Haveli,346,168,130,1,11,0,12,9,1,13,1
Daman and Diu,140,50,4,38,11,0,13,9,3,10,2
Delhi,5703,2695,840,32,268,99,0,1212,553,4,0
Goa,1486,907,52,9,180,220,4,11,5,0,98
Gujarat,54581,12282,29251,814,919,83,3844,1676,290,4620,802
Haryana,23534,9885,3056,2444,1924,1251,1,2798,2158,14,3
Himachal Pradesh,18212,11252,802,1969,787,937,2,585,1861,9,8
Jammu and Kashmir,28654,14652,9563,126,2698,358,35,604,142,473,3
Jharkhand,45908,24453,16461,68,2314,589,448,527,459,301,288
Karnataka,78233,25554,31255,547,4523,1092,9773,315,120,1158,3896
Kerala,16701,7132,4029,651,1403,361,163,1425,1006,469,62
Ladakh,1054,454,438,9,81,26,2,10,6,27,1
Lakshadweep,45,15,15,0,2,0,0,4,5,4,0
Madhya Pradesh,154064,86975,19621,30001,3061,546,4655,4322,234,4641,8
Maharashtra,109942,52574,29790,132,10261,6153,990,6125,1202,141,2574
Manipur,4844,2600,1033,51,746,141,27,120,36,20,70
Meghalaya,14669,9348,210,3343,148,237,1033,44,44,65,197
Mizoram,3913,1504,451,1089,2,4,677,2,4,0,180
Nagaland,2752,1190,774,26,436,137,4,118,51,1,15
Odisha,68717,34954,18981,2869,3524,3776,2214,197,250,0,1952
Puducherry,739,280,82,1,162,35,0,114,52,7,6
Punjab,28637,13872,2465,2657,2751,1729,4,2840,2077,62,180
Rajasthan,105883,38766,36251,212,10425,149,13,19253,652,160,2
Sikkim,1290,722,314,0,142,4,0,99,9,0,0
Tamil Nadu,59152,35970,9351,60,1993,3829,6,3472,4440,15,16
Telangana,42355,20753,7356,0,6332,5515,0,347,294,0,1758
Tripura,4945,2578,1244,1,661,7,1,381,72,0,0
Uttar Pradesh,273235,161366,17175,63449,3003,4046,5034,4154,9304,5679,25
Uttarakhand,23559,14338,2188,3242,211,853,277,578,1705,147,20
West Bengal,97828,77863,1724,7525,508,2835,0,794,6560,1,18
