"India/State /UT",Number of Teachers – all types of management,,,,,,,,,,
"",Total,Primary,Upper Primary,Secondary,Higher Secondary,,,,,,
"",,(1 to 5),(1-8),(6-8),(1-10),(6-10),(9-10),(1-12),(6-12),(9-12),(11-12)
(1),(2),(3),(4),(5),( 6),(7),( 8),( 9),(10),( 11),( 12)
India,9430839,2678534,2235883,515383,934945,444338,205093,1337419,676421,280266,122557
Andaman and Nicobar Islands,5533,903,1048,10,873,50,0,1996,495,158,0
Andhra Pradesh,314770,106788,54110,3,26359,108740,70,1041,2062,0,15597
Arunachal Pradesh,23385,5108,9875,430,3906,564,8,1477,1027,974,16
Assam,375986,130087,43064,49005,58927,33344,15606,12695,17181,1296,14781
Bihar,584327,149270,322329,2095,28088,1486,9468,27315,1263,36495,6518
Chandigarh,9887,298,779,0,2778,0,0,5857,150,25,0
Chhattisgarh,269870,95757,31002,49521,11132,248,9003,35323,1838,35958,88
Dadra and Nagar Haveli,3247,475,1453,3,263,0,117,535,22,357,22
Daman and Diu,1546,331,51,215,195,0,99,371,79,200,5
Delhi,155668,27584,11967,464,7001,2804,0,78745,26967,136,0
Goa,13676,3034,412,42,4187,3257,14,599,143,0,1988
Gujarat,401939,35295,237557,4377,12297,545,13092,40260,3750,50604,4162
Haryana,242135,45449,30016,10543,25672,10930,6,79776,39588,123,32
Himachal Pradesh,101654,25659,6927,6391,10303,6610,16,14505,31052,108,83
Jammu and Kashmir,170449,35760,63096,678,37577,4305,364,15481,2448,10671,69
Jharkhand,213642,57363,99093,367,25067,5040,2063,15493,2993,2702,3461
Karnataka,465773,60421,203774,1296,68569,6380,79905,5966,1409,17974,20079
Kerala,257230,40372,49455,6221,28251,7548,2020,55898,47893,18997,575
Ladakh,6010,968,2711,53,1214,270,22,236,75,442,19
Lakshadweep,1059,181,316,0,51,0,0,157,226,128,0
Madhya Pradesh,579424,206492,132379,73189,34485,1599,18013,66586,2908,43717,56
Maharashtra,770125,159852,226608,436,146460,33485,4518,156379,13908,1321,27158
Manipur,45400,10921,10493,288,14168,1390,149,4537,1019,922,1513
Meghalaya,55630,24563,1846,13762,2122,2738,5624,1266,1061,852,1796
Mizoram,23403,5703,4719,6752,26,35,4305,62,50,0,1751
Nagaland,32015,7241,9008,208,7727,2081,51,3846,1603,32,218
Odisha,340477,91221,132442,8112,44493,30502,14578,6961,2291,0,9877
Puducherry,12858,1780,1035,15,2942,525,0,4877,1405,175,104
Punjab,272358,44988,22690,11614,42540,18075,16,84508,44805,759,2363
Rajasthan,749523,83971,233745,818,110895,1196,67,306500,10098,2213,20
Sikkim,14277,3860,3768,0,2780,41,0,3714,114,0,0
Tamil Nadu,561466,137302,71722,312,42628,38315,23,149248,121528,189,199
Telangana,257367,53079,43619,0,80589,59740,0,5857,4992,0,9491
Tripura,46909,10207,10917,6,11156,86,2,12802,1733,0,0
Uttar Pradesh,1315338,631217,122086,229433,28640,25587,24470,99796,102557,51324,228
Uttarakhand,120899,38389,20974,10535,3397,5787,1404,16704,22178,1405,126
West Bengal,615584,346645,18797,28189,7187,31035,0,20050,163510,9,162
