India/ State/ UT,"Allmanagement",Government,"GovernmentAided","PrivateUnaidedRecognized",Others,,,,
"",,Total,KVS,NVS,"Other CentralGovernment","StateGovernment",,,
(1),(2),(3),(4),(5),(6),(7),(9),(10),(11)
India,127335252,72062066,629043,118863,69662,71244498,13045658,39099427,3128101
Andaman and Nicobar Islands,36325,25377,1598,454,0,23325,908,10040,0
Andhra Pradesh,3966632,2360547,15524,2321,265,2342437,109697,1488449,7939
Arunachal Pradesh,177046,121784,4726,2795,57,114206,10248,42931,2083
Assam,3824912,2735009,25547,5620,3868,2699974,204481,738645,146777
Bihar,13418639,11035373,21687,6659,533,11006494,102184,1375309,905773
Chandigarh,124916,78435,3321,254,682,74178,3830,40105,2546
Chhattisgarh,2978951,2174523,16824,4838,1953,2150908,36935,762224,5269
"Dadra and Nagar Haveli and Damanand Diu",63290,45101,784,589,0,43728,3297,14892,0
Delhi,2160784,1405666,53333,370,0,1351963,72072,683046,0
Goa,147955,20789,2172,415,0,18202,108944,18222,0
Gujarat,5383540,2750869,18295,5566,947,2726061,862296,1769701,674
Haryana,2729492,1297963,16072,4510,243,1277138,4859,1374727,51943
Himachal Pradesh,684325,445396,7463,2903,898,434132,0,238898,31
Jammu and Kashmir,1294730,733097,13336,2544,0,717217,109,557224,4300
Jharkhand,3909912,2684856,15024,4233,3217,2662382,170196,577560,477300
Karnataka,5858267,2781745,29706,5330,2467,2744242,725239,2350931,352
Kerala,3150928,912236,26677,3857,111,881591,1404734,782750,51208
Ladakh,30125,15763,517,574,123,14549,227,14135,0
Lakshadweep,6589,6589,164,75,0,6350,0,0,0
Madhya Pradesh,7710880,4751619,53803,10642,2839,4684335,52629,2855817,50815
Maharashtra,10632059,2907702,37495,6773,7629,2855805,4886209,2792868,45280
Manipur,340995,109367,3108,2659,26,103574,15112,208839,7677
Meghalaya,597198,238979,2226,2155,0,234598,200978,135505,21736
Mizoram,153688,69839,877,870,22,68070,11716,68533,3600
Nagaland,221287,89211,907,1300,22,86982,0,132029,47
Odisha,3696130,2615733,26715,5963,966,2582089,427995,608469,43933
Puducherry,124774,49240,2181,968,0,46091,15341,60193,0
Punjab,2828096,1482493,24293,6136,9590,1442474,85663,1259578,362
Rajasthan,8215519,5002343,30950,6755,2964,4961674,0,3130750,82426
Sikkim,67255,42595,406,1038,162,40989,2544,22116,0
Tamil Nadu,6251956,2664104,30172,0,4958,2628974,1159911,2406234,21707
Telangana,3329550,1665812,14446,1131,3167,1647068,55248,1605017,3473
Tripura,354547,277587,3421,1203,0,272963,11722,58880,6358
Uttar Pradesh,22305757,9551579,73819,12445,9230,9456085,2208856,9487914,1057408
Uttarakhand,1153720,503749,19470,2401,875,481003,76406,538358,35207
West Bengal,9404483,8408996,31984,2517,11848,8362647,15072,888538,91877
