"India/State /UT",Number of teachers by Classes Taught – Government Aided,,,,,,,,,
"",Total,"Pre-PrimaryOnly","Pre-PrimaryandPrimary","PrimaryOnly","PrimaryandUpperPrimary","UpperPrimaryOnly","UpperPrimaryandSecondary","SecondaryOnly","SecondaryandHigherSecondary","HigherSecondaryOnly"
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11)
India,796631,5171,1553,143986,40602,146957,57737,245627,18860,136138
Andaman and Nicobar Islands,74,1,0,18,1,10,12,10,2,20
Andhra Pradesh,6146,1,9,2044,243,391,1216,906,0,1336
Arunachal Pradesh,1000,0,4,267,230,127,182,106,61,23
Assam,27251,2,3,57,46,17270,568,6645,59,2601
Bihar,3585,0,1,224,233,1354,247,1129,175,222
Chandigarh,283,1,5,37,23,10,82,15,41,69
Chhattisgarh,2503,2,7,889,128,579,78,231,318,271
"Dadra and Nagar Haveli andDaman and Diu",211,0,0,42,7,49,8,52,1,52
Delhi,4614,19,0,905,0,1224,0,1030,0,1436
Goa,8826,70,20,1651,171,1095,2120,1852,0,1847
Gujarat,47156,9,29,1069,53,2069,3,25400,1603,16921
Haryana,323,0,1,93,18,14,62,38,63,34
Himachal Pradesh,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,13,0,0,4,0,7,2,0,0,0
Jharkhand,5277,13,42,1608,834,1175,727,604,47,227
Karnataka,42772,9,6,1703,10814,956,98,23477,161,5548
Kerala,116295,4660,31,35351,226,29802,131,29452,52,16590
Ladakh,79,0,0,61,2,8,2,6,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,4591,12,22,1002,191,1040,140,876,532,776
Maharashtra,286748,66,257,53968,24590,49283,27678,83178,1961,45767
Manipur,2616,3,47,1255,208,441,307,246,8,101
Meghalaya,17658,145,744,5709,28,4859,533,4489,174,977
Mizoram,1850,0,0,0,0,536,0,984,0,330
Nagaland,0,0,0,0,0,0,0,0,0,0
Odisha,32204,0,0,812,84,2725,2949,18351,0,7283
Puducherry,863,31,5,247,130,54,203,74,34,85
Punjab,4711,13,13,1001,86,566,172,1393,190,1277
Rajasthan,0,0,0,0,0,0,0,0,0,0
Sikkim,244,5,2,61,4,50,32,32,37,21
Tamil Nadu,78333,33,2,28222,1398,12597,10703,10847,3544,10987
Telangana,3337,9,99,1201,209,283,667,590,0,279
Tripura,1125,0,0,178,5,110,15,316,42,459
Uttar Pradesh,89732,1,9,4089,606,17159,7982,31820,8803,19263
Uttarakhand,5169,0,0,151,23,1023,669,1316,746,1241
West Bengal,1042,66,195,67,11,91,149,162,206,95
